RUBRO;MOC_ZONAS_ID;AÑO;CUATRIMESTRE;NIVEL
BARES Y CAFES;4;2016;3;1
BARES Y CAFES;18;2016;1;1
BARES Y CAFES;20;2016;2;1
BARES Y CAFES;23;2016;2;1
BARES Y CAFES;24;2016;1;1
BARES Y CAFES;24;2016;2;1
BARES Y CAFES;25;2016;1;1
BARES Y CAFES;25;2016;2;1
BARES Y CAFES;27;2016;2;1
BARES Y CAFES;27;2016;3;1
BARES Y CAFES;28;2016;1;1
BARES Y CAFES;32;2016;2;1
BARES Y CAFES;33;2016;3;1
BARES Y CAFES;35;2016;3;1
BARES Y CAFES;41;2016;1;1
BARES Y CAFES;41;2016;3;1
BARES Y CAFES;46;2016;3;1
BARES Y CAFES;48;2016;3;1
BARES Y CAFES;49;2016;2;1
BARES Y CAFES;51;2016;1;1
BARES Y CAFES;51;2016;2;1
BARES Y CAFES;51;2016;3;1
BARES Y CAFES;52;2016;2;1
BARES Y CAFES;52;2016;3;1
BARES Y CAFES;53;2016;3;1
BARES Y CAFES;54;2016;1;1
BARES Y CAFES;54;2016;3;1
BARES Y CAFES;55;2016;1;1
BARES Y CAFES;55;2016;3;1
BARES Y CAFES;56;2016;3;1
BARES Y CAFES;58;2016;1;1
BARES Y CAFES;60;2016;1;1
BARES Y CAFES;60;2016;2;1
BARES Y CAFES;60;2016;3;1
BARES Y CAFES;61;2016;2;1
BARES Y CAFES;61;2016;3;1
BARES Y CAFES;63;2016;2;1
BARES Y CAFES;63;2016;3;1
BARES Y CAFES;66;2016;1;1
BARES Y CAFES;66;2016;2;1
BARES Y CAFES;66;2016;3;1
BARES Y CAFES;67;2016;1;1
BARES Y CAFES;67;2016;2;1
BARES Y CAFES;69;2016;2;1
BARES Y CAFES;69;2016;3;1
BARES Y CAFES;71;2016;2;1
BARES Y CAFES;73;2016;1;1
BARES Y CAFES;74;2016;2;1
BARES Y CAFES;74;2016;3;1
BARES Y CAFES;77;2016;1;1
BARES Y CAFES;77;2016;2;1
BARES Y CAFES;77;2016;3;2
BARES Y CAFES;78;2016;1;1
BARES Y CAFES;78;2016;2;1
BARES Y CAFES;78;2016;3;1
BARES Y CAFES;79;2016;2;1
BARES Y CAFES;84;2016;3;1
BARES Y CAFES;85;2016;3;1
BARES Y CAFES;87;2016;1;1
BARES Y CAFES;89;2016;3;1
BARES Y CAFES;94;2016;3;1
BARES Y CAFES;95;2016;1;1
BARES Y CAFES;102;2016;1;1
BARES Y CAFES;103;2016;2;1
BARES Y CAFES;103;2016;3;1
BARES Y CAFES;106;2016;1;1
BARES Y CAFES;106;2016;2;2
BARES Y CAFES;106;2016;3;1
BARES Y CAFES;108;2016;1;1
BARES Y CAFES;108;2016;3;1
BARES Y CAFES;111;2016;1;1
BARES Y CAFES;114;2016;3;1
BARES Y CAFES;115;2016;1;1
BARES Y CAFES;115;2016;2;1
BARES Y CAFES;116;2016;2;1
BARES Y CAFES;116;2016;3;1
BARES Y CAFES;117;2016;2;1
