MOC_DEMOGRAFIA_ID;MOC_ZONAS_ID;PK_RANGO_ETARIO_ID;PK_GENERO_ID;POBLACION_VIVIENTE;POBLACION_TRABAJADORA;RANGO_ETARIO;GENERO
1;1;6;0;504;374;[60-INF);H
2;1;1;0;338;61;[10-20);H
3;1;2;1;607;370;[20-30);M
4;1;0;0;478;0;[0-10);H
5;1;5;0;417;351;[50-60);H
6;1;3;1;638;446;[30-40);M
7;1;4;1;410;316;[40-50);M
8;1;1;1;280;45;[10-20);M
9;1;2;0;692;392;[20-30);H
10;1;6;1;383;186;[60-INF);M
11;1;0;1;417;0;[0-10);M
12;1;3;0;711;539;[30-40);H
13;1;5;1;380;273;[50-60);M
14;1;4;0;471;379;[40-50);H
15;2;3;1;49;41;[30-40);M
16;2;5;1;38;31;[50-60);M
17;2;1;0;27;4;[10-20);H
18;2;6;0;65;33;[60-INF);H
19;2;0;1;23;0;[0-10);M
20;2;2;0;50;40;[20-30);H
21;2;4;0;46;38;[40-50);H
22;2;3;0;50;42;[30-40);H
23;2;6;1;89;22;[60-INF);M
24;2;1;1;21;6;[10-20);M
25;2;5;0;37;31;[50-60);H
26;2;0;0;23;0;[0-10);H
27;2;4;1;37;32;[40-50);M
28;2;2;1;34;28;[20-30);M
29;3;3;0;824;785;[30-40);H
30;3;2;1;808;601;[20-30);M
31;3;4;1;677;518;[40-50);M
32;3;5;0;588;534;[50-60);H
33;3;6;1;1407;358;[60-INF);M
34;3;4;0;636;593;[40-50);H
35;3;0;1;623;0;[0-10);M
36;3;1;1;589;105;[10-20);M
37;3;3;1;795;654;[30-40);M
38;3;2;0;877;765;[20-30);H
39;3;5;1;667;482;[50-60);M
40;3;1;0;655;141;[10-20);H
41;3;6;0;951;431;[60-INF);H
42;3;0;0;667;0;[0-10);H
43;4;4;1;393;326;[40-50);M
44;4;3;0;589;558;[30-40);H
45;4;2;1;609;465;[20-30);M
46;4;5;0;305;289;[50-60);H
47;4;1;1;410;82;[10-20);M
48;4;6;1;622;206;[60-INF);M
49;4;0;0;489;0;[0-10);H
50;4;4;0;397;372;[40-50);H
51;4;5;1;346;261;[50-60);M
52;4;2;0;607;529;[20-30);H
53;4;3;1;586;477;[30-40);M
54;4;1;0;484;116;[10-20);H
55;4;0;1;449;0;[0-10);M
56;4;6;0;404;246;[60-INF);H
57;5;1;0;55;8;[10-20);H
58;5;3;1;58;38;[30-40);M
59;5;6;0;20;7;[60-INF);H
60;5;4;0;38;29;[40-50);H
61;5;2;0;72;47;[20-30);H
62;5;5;1;18;12;[50-60);M
63;5;0;0;69;0;[0-10);H
64;5;4;1;25;19;[40-50);M
65;5;6;1;17;1;[60-INF);M
66;5;3;0;53;41;[30-40);H
67;5;1;1;74;7;[10-20);M
68;5;2;1;39;18;[20-30);M
69;5;0;1;61;0;[0-10);M
70;5;5;0;24;19;[50-60);H
71;6;3;1;709;527;[30-40);M
72;6;6;0;659;302;[60-INF);H
73;6;2;0;746;649;[20-30);H
74;6;0;1;621;0;[0-10);M
75;6;5;1;483;323;[50-60);M
76;6;1;1;678;120;[10-20);M
77;6;4;0;570;532;[40-50);H
78;6;3;0;654;616;[30-40);H
79;6;6;1;951;226;[60-INF);M
80;6;2;1;706;462;[20-30);M
81;6;5;0;447;404;[50-60);H
82;6;1;0;658;114;[10-20);H
83;6;4;1;607;451;[40-50);M
84;6;0;0;681;0;[0-10);H
85;7;2;1;603;432;[20-30);M
86;7;3;0;609;571;[30-40);H
87;7;6;1;1017;311;[60-INF);M
88;7;5;0;414;374;[50-60);H
89;7;1;1;478;94;[10-20);M
90;7;4;1;552;460;[40-50);M
91;7;0;1;442;0;[0-10);M
92;7;2;0;664;563;[20-30);H
93;7;3;1;601;457;[30-40);M
94;7;6;0;646;330;[60-INF);H
95;7;4;0;492;464;[40-50);H
96;7;0;0;438;0;[0-10);H
97;7;1;0;476;102;[10-20);H
98;7;5;1;534;418;[50-60);M
99;8;4;1;1;1;[40-50);M
100;8;6;1;0;0;[60-INF);M
101;8;5;0;13;13;[50-60);H
102;8;0;0;1;0;[0-10);H
103;8;2;0;13;13;[20-30);H
104;8;3;0;22;22;[30-40);H
105;8;1;0;0;0;[10-20);H
106;8;5;1;1;1;[50-60);M
107;8;6;0;6;6;[60-INF);H
108;8;4;0;15;15;[40-50);H
109;8;0;1;0;0;[0-10);M
110;8;3;1;1;1;[30-40);M
111;8;1;1;0;0;[10-20);M
112;8;2;1;1;0;[20-30);M
113;9;5;1;519;364;[50-60);M
114;9;6;0;685;295;[60-INF);H
115;9;4;0;441;407;[40-50);H
116;9;3;1;581;447;[30-40);M
117;9;0;0;529;0;[0-10);H
118;9;2;0;578;491;[20-30);H
119;9;1;0;514;101;[10-20);H
120;9;5;0;409;371;[50-60);H
121;9;6;1;1060;209;[60-INF);M
122;9;4;1;487;389;[40-50);M
123;9;2;1;600;417;[20-30);M
124;9;0;1;475;0;[0-10);M
125;9;3;0;565;507;[30-40);H
126;9;1;1;493;77;[10-20);M
127;10;5;1;488;356;[50-60);M
128;10;1;1;626;105;[10-20);M
129;10;6;0;613;296;[60-INF);H
130;10;2;1;690;485;[20-30);M
131;10;4;0;523;501;[40-50);H
132;10;3;1;677;520;[30-40);M
133;10;0;1;592;0;[0-10);M
134;10;1;0;645;142;[10-20);H
135;10;6;1;970;306;[60-INF);M
136;10;5;0;445;406;[50-60);H
137;10;4;1;535;436;[40-50);M
138;10;3;0;631;607;[30-40);H
139;10;2;0;715;620;[20-30);H
140;10;0;0;567;0;[0-10);H
141;11;5;0;531;480;[50-60);H
142;11;4;1;696;557;[40-50);M
143;11;0;1;654;0;[0-10);M
144;11;1;0;698;128;[10-20);H
145;11;2;1;826;619;[20-30);M
146;11;3;0;786;738;[30-40);H
147;11;6;1;1385;309;[60-INF);M
148;11;5;1;685;472;[50-60);M
149;11;4;0;632;571;[40-50);H
150;11;6;0;815;363;[60-INF);H
151;11;0;0;728;0;[0-10);H
152;11;1;1;694;108;[10-20);M
153;11;3;1;834;643;[30-40);M
154;11;2;0;819;704;[20-30);H
155;12;0;1;617;0;[0-10);M
156;12;5;0;486;440;[50-60);H
157;12;4;1;673;550;[40-50);M
158;12;3;1;861;731;[30-40);M
159;12;6;1;1001;275;[60-INF);M
160;12;1;0;651;127;[10-20);H
161;12;2;0;809;687;[20-30);H
162;12;0;0;682;0;[0-10);H
163;12;4;0;598;557;[40-50);H
164;12;5;1;579;432;[50-60);M
165;12;6;0;664;342;[60-INF);H
166;12;1;1;602;95;[10-20);M
167;12;3;0;809;748;[30-40);H
168;12;2;1;798;609;[20-30);M
169;13;3;0;690;618;[30-40);H
170;13;6;0;849;366;[60-INF);H
171;13;4;0;571;517;[40-50);H
172;13;0;0;684;0;[0-10);H
173;13;1;1;651;90;[10-20);M
174;13;5;1;639;445;[50-60);M
175;13;2;0;773;656;[20-30);H
176;13;4;1;627;470;[40-50);M
177;13;0;1;606;0;[0-10);M
178;13;1;0;665;113;[10-20);H
179;13;3;1;748;552;[30-40);M
180;13;6;1;1260;268;[60-INF);M
181;13;2;1;785;539;[20-30);M
182;13;5;0;537;478;[50-60);H
183;14;3;0;1356;1243;[30-40);H
184;14;1;1;1900;276;[10-20);M
185;14;0;0;2088;0;[0-10);H
186;14;5;1;497;312;[50-60);M
187;14;4;0;867;792;[40-50);H
188;14;6;0;328;172;[60-INF);H
189;14;2;1;1891;1090;[20-30);M
190;14;6;1;443;125;[60-INF);M
191;14;3;1;1427;885;[30-40);M
192;14;0;1;2128;0;[0-10);M
193;14;1;0;1847;407;[10-20);H
194;14;2;0;1934;1671;[20-30);H
195;14;5;0;491;432;[50-60);H
196;14;4;1;928;602;[40-50);M
197;15;3;1;663;513;[30-40);M
198;15;1;0;700;137;[10-20);H
199;15;0;1;622;0;[0-10);M
200;15;2;1;693;488;[20-30);M
201;15;5;0;494;451;[50-60);H
202;15;4;1;608;444;[40-50);M
203;15;6;0;798;392;[60-INF);H
204;15;0;0;615;0;[0-10);H
205;15;3;0;727;684;[30-40);H
206;15;1;1;642;106;[10-20);M
207;15;2;0;722;628;[20-30);H
208;15;5;1;512;359;[50-60);M
209;15;4;0;566;529;[40-50);H
210;15;6;1;1131;300;[60-INF);M
211;16;1;0;2552;458;[10-20);H
212;16;4;1;2488;1823;[40-50);M
213;16;5;0;1898;1698;[50-60);H
214;16;3;1;2713;2018;[30-40);M
215;16;0;1;2306;0;[0-10);M
216;16;6;1;4742;1133;[60-INF);M
217;16;2;0;2604;2204;[20-30);H
218;16;5;1;2330;1538;[50-60);M
219;16;1;1;2522;369;[10-20);M
220;16;3;0;2401;2239;[30-40);H
221;16;6;0;2991;1315;[60-INF);H
222;16;2;1;2705;1945;[20-30);M
223;16;4;0;2202;2067;[40-50);H
224;16;0;0;2408;0;[0-10);H
225;17;2;0;2283;1986;[20-30);H
226;17;1;1;1953;359;[10-20);M
227;17;0;0;2003;0;[0-10);H
228;17;4;0;1568;1470;[40-50);H
229;17;5;1;1445;926;[50-60);M
230;17;6;1;3072;708;[60-INF);M
231;17;3;0;1931;1796;[30-40);H
232;17;4;1;1659;1223;[40-50);M
