MOC_RUBROS_ID;MOC_ZONAS_ID;RUBRO;NIVEL_RIESGO;FACTURACION_PROM_ACTUAL;INDICE_CRECIMIENTO;INDICE_ESTABILIDAD;INDICE_APERTURA;INDICE_CIERRE;INDICE_SUPERVIVENCIA;IND_AP_ACT_VS_IND_AP_ANIO_ANT;IND_CL_ACT_VS_IND_CL_ANIO_ANT;SUP_MENOS_1;SUP_ENTRE_1_Y_2;SUP_ENTRE_2_Y_3;SUP_ENTRE_3_Y_4;SUP_ENTRE_4_Y_5;SUP_MAS_5;FACTURACION_PROM_ANIO_ANT;NIVEL_LOCALES;INDICE_CIERRE_ANIO_ANT;INDICE_APERTURA_ANIO_ANT
1;1;INSUMOS PARA EL HOGAR;5;1;3;1;0.00;16.67;0.00;-100.00;0.00;0.00;10.00;45.00;15.00;0.00;30.00;2;1;16.67;16.67
2;2;INSUMOS PARA EL HOGAR;NULL;NULL;NULL;NULL;0.00;0.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;3;INSUMOS PARA EL HOGAR;1;4;4;2;0.00;0.00;100.00;-100.00;NULL;0.00;18.18;27.27;27.27;27.27;0.00;4;1;NULL;33.33
4;4;INSUMOS PARA EL HOGAR;1;2;4;4;0.00;0.00;100.00;NULL;NULL;0.00;0.00;0.00;14.29;0.00;85.71;3;1;NULL;NULL
5;5;INSUMOS PARA EL HOGAR;NULL;NULL;NULL;NULL;0.00;0.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;6;INSUMOS PARA EL HOGAR;4;5;4;5;0.00;0.00;0.00;NULL;-100.00;0.00;18.18;0.00;0.00;0.00;81.82;5;1;33.33;NULL
7;7;INSUMOS PARA EL HOGAR;1;5;4;5;0.00;0.00;NULL;-100.00;NULL;0.00;11.11;0.00;0.00;0.00;88.89;5;1;NULL;16.67
8;8;INSUMOS PARA EL HOGAR;NULL;NULL;NULL;NULL;0.00;0.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9;9;INSUMOS PARA EL HOGAR;1;5;4;4;0.00;0.00;100.00;-100.00;NULL;0.00;14.29;21.43;3.57;0.00;60.71;5;1;NULL;20.00
10;10;INSUMOS PARA EL HOGAR;4;5;4;4;0.00;0.00;0.00;NULL;-100.00;0.00;0.00;40.00;0.00;0.00;60.00;5;1;100.00;NULL
11;11;INSUMOS PARA EL HOGAR;1;2;3;4;0.00;0.00;100.00;-100.00;NULL;0.00;15.38;15.38;0.00;0.00;69.23;2;1;NULL;20.00
12;12;INSUMOS PARA EL HOGAR;1;2;4;4;0.00;0.00;NULL;NULL;NULL;0.00;0.00;0.00;0.00;0.00;100.00;2;1;NULL;NULL
13;13;INSUMOS PARA EL HOGAR;1;1;4;2;0.00;0.00;NULL;-100.00;NULL;0.00;100.00;0.00;0.00;0.00;0.00;1;1;NULL;100.00
14;14;INSUMOS PARA EL HOGAR;1;5;4;3;0.00;0.00;100.00;NULL;NULL;0.00;0.00;0.00;66.67;0.00;33.33;3;1;NULL;NULL
15;15;INSUMOS PARA EL HOGAR;4;1;4;4;0.00;0.00;0.00;NULL;-100.00;0.00;25.00;0.00;0.00;0.00;75.00;1;1;50.00;NULL
16;16;INSUMOS PARA EL HOGAR;1;5;4;4;12.50;0.00;100.00;-50.00;NULL;4.35;13.04;0.00;13.04;0.00;69.57;5;1;NULL;25.00
17;17;INSUMOS PARA EL HOGAR;1;2;4;4;0.00;0.00;100.00;-100.00;NULL;0.00;20.00;0.00;20.00;20.00;40.00;2;1;NULL;20.00
18;18;INSUMOS PARA EL HOGAR;1;2;4;2;0.00;0.00;100.00;-100.00;NULL;0.00;33.33;16.67;50.00;0.00;0.00;2;1;NULL;50.00
19;19;INSUMOS PARA EL HOGAR;1;5;4;4;0.00;0.00;100.00;-100.00;NULL;0.00;13.33;20.00;0.00;6.67;60.00;5;1;NULL;20.00
20;20;INSUMOS PARA EL HOGAR;1;5;3;4;0.00;0.00;100.00;-100.00;NULL;0.00;7.69;9.62;17.31;5.77;59.62;5;2;NULL;11.76
21;21;INSUMOS PARA EL HOGAR;1;2;4;4;7.69;0.00;100.00;NULL;NULL;2.56;0.00;7.69;15.38;0.00;74.36;3;1;NULL;NULL
22;22;INSUMOS PARA EL HOGAR;3;3;4;4;0.00;0.00;50.00;NULL;-100.00;0.00;0.00;16.13;9.68;9.68;64.52;3;1;22.22;NULL
23;23;INSUMOS PARA EL HOGAR;1;5;3;4;0.00;0.00;100.00;NULL;NULL;0.00;0.00;34.62;0.00;11.54;53.85;5;1;NULL;NULL
24;24;INSUMOS PARA EL HOGAR;1;2;1;4;0.00;0.00;100.00;NULL;NULL;8.33;0.00;0.00;0.00;12.50;79.17;2;1;NULL;NULL
25;25;INSUMOS PARA EL HOGAR;1;2;4;4;16.67;0.00;100.00;0.00;NULL;5.56;11.11;5.56;33.33;0.00;44.44;2;1;NULL;20.00
26;26;INSUMOS PARA EL HOGAR;4;4;2;1;0.00;25.00;100.00;NULL;NULL;11.11;0.00;0.00;16.67;16.67;55.56;4;1;NULL;NULL
27;27;INSUMOS PARA EL HOGAR;3;1;4;2;14.29;14.29;75.00;NULL;0.00;4.76;9.52;42.86;0.00;0.00;42.86;1;1;16.67;NULL
28;28;INSUMOS PARA EL HOGAR;1;4;4;3;14.29;0.00;100.00;-50.00;NULL;4.55;18.18;18.18;0.00;13.64;45.45;5;1;NULL;28.57
29;29;INSUMOS PARA EL HOGAR;1;2;4;5;0.00;0.00;NULL;NULL;NULL;0.00;0.00;0.00;0.00;0.00;100.00;2;1;NULL;NULL
30;30;INSUMOS PARA EL HOGAR;5;5;2;2;0.00;11.11;0.00;-100.00;0.00;0.00;13.33;40.00;6.67;0.00;40.00;5;1;10.00;20.00
31;31;INSUMOS PARA EL HOGAR;1;5;4;3;0.00;0.00;100.00;-100.00;NULL;0.00;21.05;0.00;0.00;31.58;47.37;5;1;NULL;28.57
32;32;INSUMOS PARA EL HOGAR;2;5;3;2;0.00;10.00;100.00;-100.00;NULL;0.00;14.29;0.00;21.43;7.14;57.14;5;1;NULL;20.00
33;33;INSUMOS PARA EL HOGAR;1;3;4;3;6.67;0.00;100.00;-80.00;-100.00;2.33;25.58;2.33;0.00;0.00;69.77;5;2;6.67;33.33
34;34;INSUMOS PARA EL HOGAR;5;3;4;2;6.67;13.33;0.00;-75.00;100.00;4.55;18.18;13.64;6.82;0.00;56.82;3;1;7.14;28.57
35;35;INSUMOS PARA EL HOGAR;1;4;4;3;0.00;0.00;100.00;NULL;-100.00;0.00;0.00;17.65;47.06;0.00;35.29;4;1;20.00;NULL
36;36;INSUMOS PARA EL HOGAR;1;5;4;5;0.00;0.00;NULL;NULL;-100.00;0.00;0.00;0.00;0.00;0.00;100.00;5;1;25.00;NULL
37;37;INSUMOS PARA EL HOGAR;1;5;4;5;0.00;0.00;NULL;NULL;NULL;0.00;0.00;0.00;0.00;0.00;100.00;5;1;NULL;NULL
38;38;INSUMOS PARA EL HOGAR;NULL;NULL;NULL;NULL;0.00;0.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
39;39;INSUMOS PARA EL HOGAR;4;3;2;1;0.00;14.29;50.00;-100.00;0.00;11.11;14.81;29.63;11.11;0.00;33.33;3;1;12.50;25.00
40;40;INSUMOS PARA EL HOGAR;1;5;4;4;0.00;0.00;100.00;-100.00;NULL;0.00;11.11;0.00;22.22;0.00;66.67;5;1;NULL;11.11
41;41;INSUMOS PARA EL HOGAR;1;5;4;4;8.33;0.00;100.00;NULL;NULL;2.94;0.00;8.82;8.82;0.00;79.41;5;1;NULL;NULL
42;42;INSUMOS PARA EL HOGAR;4;1;2;1;0.00;25.00;100.00;NULL;NULL;0.00;0.00;25.00;25.00;25.00;25.00;1;1;NULL;NULL
43;43;INSUMOS PARA EL HOGAR;1;5;4;4;0.00;0.00;100.00;NULL;-100.00;0.00;0.00;35.29;0.00;0.00;64.71;5;1;20.00;NULL
